"By administrative divisions",2023,2023,2023,2023
"By administrative divisions",Korean,Korean,Korean,Korean
"By administrative divisions",Dependency ratio(Aged),Aging Index,Median age (years),Mean age (years)
"Busan",33.8,228.1,48.8,46.6
"Total for eups",26.4,114.5,44.2,42.9
"Total for myeons",65.0,558.3,59.2,54.5
"Total for dongs",34.2,237.4,49.0,46.8
"Jung-gu",48.6,740.5,54.6,51.7
"Seo-gu",44.2,351.1,52.4,49.4
"Dong-gu",45.4,408.0,52.7,50.2
"Yeongdo-gu",49.0,442.6,54.3,50.6
"Busanjin-gu",31.8,254.3,47.1,46.1
"Dongnae-gu",32.8,186.2,47.8,45.9
"Nam-gu",34.2,236.5,48.4,46.2
"Buk-gu",31.8,222.4,50.2,47.0
"Haeundae-gu",31.3,196.4,49.0,46.3
"Saha-gu",34.5,254.8,50.1,47.3
"Geumjeong-gu",36.9,314.3,50.4,47.6
"Gangseo-gu",20.3,70.3,41.0,39.8
"Yeonje-gu",34.3,232.3,48.7,46.7
"Suyeong-gu",37.6,298.4,49.3,47.7
"Sasang-gu",32.4,283.4,50.6,47.4
"Gijang-gun",27.8,122.7,44.6,43.4
